run:
Test HashTable without growing table size:
key value
0   26
1   1
2   39
3   14
4   15
5   5
6   16
7   17
8   21
9   18
10  19
11  20
12  111
13  145
14  146
15  -1
16  -1
17  -1
18  -1
19  -1

Test HashTable with growing table size:
key value
0   26
1   1
2   39
3   14
4   15
5   5
6   16
7   17
8   21
9   18
10  19
11  20
12  111
13  145
14  146
15  1
16  5
17  21
18  26
19  39
20  14
21  15
22  16
23  17
24  18
25  19
26  20
27  111
28  145
29  146
30  -1
31  -1
32  -1
33  -1
34  -1
35  -1
36  -1
37  -1
38  -1
39  -1
